Parkside Hospital	London	020 8971 8000	info@parkside-hospital.co.uk
Renacres Hospital	Ormskirk	01704 841133	renacres.enquiries@ramsayhealth.co.uk
Rivers Hospital	Sawbridgeworth	01279 600282	rivers.enquiries@ramsayhealth.co.uk
Winfield Hospital	Gloucester	01452 306009	winfield.enquiries@ramsayhealth.co.uk
Woodland Hospital	Kettering	01536 414515	woodland.enquiries@ramsayhealth.co.uk
Cobalt Hospital	Newcastle Upon Tyne	0191 2703 250	cobalt.enquiries@ramsayhealth.co.uk
Blakelands Hospital	Milton Keynes	01908 334200	blakelands.enquiries@ramsayhealth.co.uk
benenden hospital	Cranbrook	01580 240333	publicrelations@benenden.org.uk
Bridgnorth Hospital	Bridgnorth	01746 762641	bridgnorth.reception@shropcom.nhs.uk
Mile End Hospital	London	020 3416 5000	pals@bartshealth.nhs.uk
Torbay Hospital	Torquay	01803 614567	chiefexecutive.sdhct@nhs.net
St Lukes Hospital	Bradford	01274 734744	comments@bthft.nhs.uk
Royal Free Hospital	London	020 7794 0500	rf.pals@nhs.net
Hillingdon Hospital	Uxbridge	01895 238282	info@thh.nhs.uk
Kingston Hospital	Kingston Upon Thames	020 8546 7711	enquiries@kingstonhospital.nhs.uk
Manor Hospital	Walsall	01922 721172	contactus@walsallhealthcare.nhs.uk
Whiston Hospital	Prescot	0151 426 1600	judith.marsland@sthk.nhs.uk
St Helens Hospital	St. Helens	01744 26633	judith.marsland@sthk.nhs.uk
The Christie	Manchester	0161 446 3000	enquiries@christie.nhs.uk
Castleberg Hospital	Settle	01729 823515	personnel.dept@anhst.nhs.uk
Orsett Hospital	Grays	0845 155 3111	pals@btuh.nhs.uk
St Ann's Hospital	Poole	01202 708881	enquiries@dhuft.nhs.uk
Alderney Hospital	Poole	01202 735537	enquiries@dhuft.nhs.uk
Kimmeridge Court	Poole	01202 492147	enquiries@dhuft.nhs.uk
Fairmile House	Christchurch	01202 858100	enquiries@dhuft.nhs.uk
Pebble Lodge	Bournemouth	01202 545400	enquiries@dhuft.nhs.uk
Oakcroft	Wimborne	01202  848547	enquiries@dhuft.nhs.uk
Westhaven Hospital	Weymouth	01305 786116	enquiries@dhuft.nhs.uk
Portland Hospital	Portland	01305 820341	enquiries@dhuft.nhs.uk
Yeatman Hospital	Sherborne	01935 813991	enquiries@dhuft.nhs.uk
